œ– √(2), ÏŒÏ	¡œ– √(2), ŒÏ	œ– √(4), ÏŒÏ	¡œ– √(4), ŒÏ	œ– √(5), ÏŒÏ	¡œ– √(5), ŒÏ	œ– √(7), ÏŒÏ	¡œ– √(7), ŒÏ	œ– √(8), ÏŒÏ	¡œ– √(8), ŒÏ	œ– √(10), ÏŒÏ	¡œ– √(10), ŒÏ	œ– √(13), ÏŒÏ	¡œ– √(13), ŒÏ	œ– √(14), ÏŒÏ	¡œ– √(14), ŒÏ	› √(16), ÏÍ¬	“– √(32), ÏŒÏ	
-13.200	64.183	-6.800	8.745	4.000	12.561	-17.600	94.393	-12.000	82.945	0.000	72.716	-12.000	25.705	0.400	108.332	35.247	-5.600	
-13.200	64.183	-6.400	8.745	3.600	12.614	-17.600	94.393	-13.200	82.945	0.400	72.716	-13.600	25.705	0.400	108.332	22.261	-5.200	
-12.800	64.183	-6.400	8.745	2.000	12.667	-18.400	94.393	-13.600	82.945	0.800	72.716	-14.400	25.705	0.400	108.332	20.406	-5.200	
-12.400	64.183	-6.400	8.745	0.800	12.667	-18.800	94.393	-13.200	82.945	0.800	72.716	-15.200	25.705	-0.400	108.332	25.971	-4.800	
-12.400	64.183	-6.000	8.745	0.800	12.614	-19.200	94.393	-13.600	82.945	1.200	72.716	-16.000	25.758	-1.200	108.332	38.957	-4.400	
-12.400	64.183	-5.600	8.745	1.200	12.614	-19.600	94.393	-14.000	82.945	1.600	72.716	-16.000	25.758	-1.600	108.332	66.784	-4.000	
-12.400	64.183	-5.600	8.745	0.800	12.561	-20.000	94.393	-14.000	82.945	2.000	72.769	-15.600	25.758	-2.400	108.332	83.480	-3.200	
-12.400	64.183	-6.000	8.692	0.000	12.508	-20.400	94.393	-13.600	82.945	2.400	72.716	-15.200	25.758	-2.800	108.332	81.624	-2.800	
-12.400	64.183	-6.400	8.745	-0.800	12.508	-20.800	94.393	-12.800	82.945	2.800	72.769	-14.800	25.705	-2.800	108.332	81.624	-2.400	
-12.400	64.183	-6.400	8.745	-0.400	12.508	-21.200	94.393	-12.800	82.945	2.800	72.716	-14.400	25.705	-3.200	108.332	87.190	-2.000	
-12.800	64.183	-6.800	8.745	0.400	12.561	-21.600	94.393	-13.200	82.945	2.800	72.769	-14.000	25.705	-4.000	108.332	92.755	-2.000	
-12.800	64.183	-6.800	8.745	0.800	12.614	-21.600	94.393	-13.600	82.945	2.800	72.716	-13.200	25.705	-4.800	108.332	109.451	-2.000	
-13.200	64.183	-7.600	8.745	0.400	12.667	-21.600	94.393	-13.600	82.945	2.400	72.769	-12.400	25.705	-5.600	108.332	126.147	-2.000	
-13.600	64.183	-7.600	8.745	0.000	12.667	-22.000	94.393	-13.600	82.945	2.400	72.769	-11.200	25.705	-6.000	108.332	118.726	-2.000	
-14.400	64.183	-7.600	8.745	0.800	12.614	-22.000	94.393	-13.600	82.945	2.000	72.769	-11.200	25.705	-6.400	108.332	105.741	-2.000	
-14.800	64.183	-7.600	8.745	2.000	12.561	-22.400	94.393	-14.400	82.945	1.600	72.769	-11.200	25.705	-6.400	108.332	109.451	-1.600	
-15.200	64.183	-8.000	8.745	2.400	12.508	-22.400	94.393	-14.800	82.945	1.200	72.769	-10.800	25.705	-6.800	108.332	120.582	-1.600	
-15.600	64.183	-8.400	8.692	2.000	12.508	-22.800	94.393	-14.800	82.945	0.800	72.769	-9.600	25.705	-6.800	108.332	116.871	-1.200	
-16.000	64.183	-8.800	8.745	1.600	12.508	-22.800	94.393	-14.400	82.945	0.400	72.769	-8.000	25.705	-7.200	108.332	116.871	-1.200	
-16.000	64.183	-8.800	8.745	2.000	12.508	-23.200	94.446	-14.000	82.945	0.000	72.769	-6.800	25.705	-7.200	108.332	124.292	-1.200	
-16.400	64.183	-8.800	8.745	2.800	12.561	-23.600	94.446	-14.000	82.945	-0.400	72.769	-5.600	25.705	-7.200	108.332	115.016	-0.800	
-16.400	64.183	-8.800	8.745	2.800	12.614	-24.400	94.393	-13.600	82.945	-0.800	72.769	-4.400	25.705	-7.200	108.332	105.741	-0.800	
-16.800	64.183	-9.600	8.745	2.400	12.667	-25.200	94.446	-12.800	82.945	-1.200	72.769	-3.600	25.705	-7.600	108.332	102.031	-0.800	
-16.800	64.183	-9.600	8.745	2.000	12.667	-25.600	94.393	-11.600	82.945	-1.200	72.769	-2.400	25.705	-8.000	108.332	102.031	-0.800	
-17.200	64.183	-9.600	8.745	2.800	12.614	-26.400	94.393	-10.400	82.945	-1.600	72.769	-2.000	25.705	-8.400	108.385	105.741	-0.800	
-17.200	64.183	-9.200	8.745	3.600	12.561	-27.200	94.393	-10.400	82.945	-2.000	72.769	-2.000	25.705	-8.800	108.332	122.437	-0.800	
